url,title,model_labels,manual_labels
https://github.com/mozilla/MozStumbler/issues/1409,[Regression] MozStumbler's UI gets unresponsive after scanning a while (low end devices),"[10, 12, 2]","[0, 12, 2]"
https://github.com/mozilla/MozStumbler/issues/1394,"Scanning pauses when I stand still, but doesn't resume when I start moving","[2, 10]",[2]
https://github.com/mozilla/MozStumbler/issues/1386,add explicit high-power mode,"[16, 3, 13]",[7]
https://github.com/mozilla/MozStumbler/issues/1317,1.5.2 drains the battery by leaving the GPS active after stop stumbling,[14],"[14, 15]"
https://github.com/mozilla/MozStumbler/issues/1301,only scan for GPS before first GPS fix,"[4, 21]","[4, 21]"
https://github.com/mozilla/MozStumbler/issues/1300,battery saving technique is only effective once the device had a GPS signal and doesn't move,"[19, 12, 9]","[16, 15, 6]"
https://github.com/mozilla/MozStumbler/issues/1293,ACRA: NPE BatteryCheck.batteryLevel,"[7, 15]","[7, 15]"
https://github.com/mozilla/MozStumbler/issues/1290,"No motion paused: MapLocationListener switched to network location, just turn this off completely",[19],[18]
https://github.com/mozilla/MozStumbler/issues/1124,Screen Off Scanning: Reports doesn't increase when the screen turned off. ,"[12, 10, 2]","[10, 19]"
https://github.com/mozilla/MozStumbler/issues/1107,Hook accelerometer to enable/disable wifi/cell scanning,"[7, 17, 9]","[17, 16, 7]"
https://github.com/mozilla/MozStumbler/issues/1105,Upload only on charge,"[16, 21, 4]","[4, 21]"
https://github.com/mozilla/MozStumbler/issues/1069,"Disable ""keep screen on while in map"" when in low power situations","[9, 2, 19]","[2, 6]"
https://github.com/mozilla/MozStumbler/issues/1048,Crash on low battery,"[10, 7, 2]","[6, 7]"
https://github.com/mozilla/MozStumbler/issues/1023,"MainApp::onStop crashes (if battery <15%, app crash on startup)",[],"[6, 7]"
https://github.com/mozilla/MozStumbler/issues/943,stumbler did not turn off on 15% battery,[10],"[6, 7]"
https://github.com/mozilla/MozStumbler/issues/869,"No collection: observation count increases, but no data in queue, no data uploaded","[10, 2]",[8]
https://github.com/mozilla/MozStumbler/issues/716,Points with WIFI turned off get not imported,"[12, 10, 2]",[9]
https://github.com/mozilla/MozStumbler/issues/614,"Everytime after uploading something, I get: Unfortunately, MozStumbler has stopped",[11],[11]
https://github.com/mozilla/MozStumbler/issues/584,Investigate battery consumption of Wifi and Cell scans,"[7, 9, 15]","[9, 15]"
https://github.com/mozilla/MozStumbler/issues/547,Add an option to keep the phone's screen on ,"[14, 15]","[14, 15, 0]"
https://github.com/mozilla/MozStumbler/issues/542,intelligent battery saving mode for walking and other slow moving,"[14, 6]","[6, 14]"
https://github.com/mozilla/MozStumbler/issues/406,Upload compressed JSON using HTTP `Content-Encoding: gzip`,[5],[8]
https://github.com/mozilla/MozStumbler/issues/371,Use no more than percent of battery,[11],"[6, 7]"
https://github.com/mozilla/MozStumbler/issues/369,Interval based peroidic scanning,[3],[13]
https://github.com/mozilla/MozStumbler/issues/353,Add option to configure stumbler's low battery limit,"[15, 14, 6]","[14, 15, 6]"
https://github.com/mozilla/MozStumbler/issues/340,MozStumbler >= v0.9.0 no longer scans WiFi very well on BlackBerry 10.2.1,[9],[9]
https://github.com/mozilla/MozStumbler/issues/329,Wishlist: bring back the manual on/off button,"[8, 5]",[14]
https://github.com/mozilla/MozStumbler/issues/328,Location tracking activates despite exiting the app,"[15, 14, 5]","[14, 15, 18]"
https://github.com/mozilla/MozStumbler/issues/327,Disabling power saving mode does not work,"[7, 10, 2]",[7]
https://github.com/mozilla/MozStumbler/issues/323,No Map Tiles/Images (Test Mozilla Location Service),"[12, 2, 10]",[12]
https://github.com/mozilla/MozStumbler/issues/316,"Wifi settings, wrong signature (FDroid update), test service->no visible map","[10, 9, 2]",[9]
https://github.com/mozilla/MozStumbler/issues/312,Activity recognition should not stop scanning when power-saving mode is off,"[15, 6, 14]","[6, 15, 14]"
https://github.com/mozilla/MozStumbler/issues/241,Don't force Wi-Fi always ON,"[2, 12, 10]","[14, 4]"
https://github.com/mozilla/MozStumbler/issues/198,Allow to pause scanning,"[14, 19, 8]",[19]
https://github.com/mozilla/MozStumbler/issues/131,Stumbling without data enabled fails to upload any/most data,"[11, 10, 2]","[11, 8]"
https://github.com/mozilla/MozStumbler/issues/41,Pause scanning on ACTION_BATTERY_LOW intent,"[21, 19, 8]","[6, 7]"
https://github.com/mozilla/MozStumbler/issues/32,"Investigate ""Wi-Fi scan-only mode"" (REQUEST_SCAN_ALWAYS_AVAILABLE) in JB 4.3","[15, 4, 9]",[9]
https://github.com/mozilla/MozStumbler/issues/21,Enable both active and passive stumbling modes for the Client,"[15, 14, 5]","[15, 14]"
https://github.com/Etuldan/spaRSS/issues/34,black theme for amoled displays,[0],[0]
https://github.com/Etuldan/spaRSS/issues/11,Refresh animation doesn't stop,[13],"[13, 20]"
https://github.com/kenkendk/android-bluez-ime/issues/49,Error: connection refused,"[12, 10, 2]",[1]
https://github.com/PrivacyApps/offline-calendar/issues/4,Calendar tries to synchronize,[11],[13]
https://github.com/miku-nyan/Overchan-Android/issues/81,Saved images not added to Android Media Index,"[12, 2, 10]",[12]
https://github.com/microg/IchnaeaNlpBackend/issues/13,Exceptions in log,[21],[10]
https://github.com/wiglenet/wigle-wifi-wardriving/issues/39,Client does not store most accurate data,"[12, 10, 2]","[16, 12]"
https://github.com/lkorth/screen-notifications/issues/44,Battery usage,"[7, 15]","[7, 15, 6]"
https://github.com/lkorth/screen-notifications/issues/15,Proximity Sensor,[],[17]
https://github.com/ThibaudM/timelapse-sony/issues/14,"Keep screen active, update camera list","[15, 3, 13]","[0, 15]"
https://github.com/douzifly/clear-todolist/issues/3,black amoled-friendly design ,[0],[0]
https://github.com/freeotp/freeotp-android/issues/24,[RFE] Have a setting to show all token codes right away without an extra tap,"[16, 3, 4]","[19, 4]"
https://github.com/freeotp/freeotp-android/issues/19,Galaxy S4 battery use,[15],"[7, 15, 6]"
https://github.com/cSploit/android/issues/732,Black theme AMOLED,[0],[0]
https://github.com/cSploit/android/issues/333,Bruteforce WiFi!!,"[18, 9]",[9]
https://github.com/cSploit/android/issues/276,Dark Theme doesn't show,"[12, 2, 10]",[0]
https://github.com/cSploit/android/issues/63,double confirm to exit,[3],[19]
https://github.com/daneren2005/Subsonic/issues/121,Theme with black background for OLED devices,[0],[0]
https://github.com/abarisain/dmix/issues/587,High CPU usage when trying to stream,"[20, 13]","[20, 13, 15]"
https://github.com/abarisain/dmix/issues/504,Problem with MPDroid-beta and multi-album-artists,"[7, 18]",[18]
https://github.com/abarisain/dmix/issues/296,[Feature] Now Playing notification,"[15, 5, 3]",[5]
https://github.com/abarisain/dmix/issues/225,[Wishlist] Control music player via Notification,[15],[5]
https://github.com/abarisain/dmix/issues/180,Connection lost when screen goes off,"[9, 7, 2]",[1]
https://github.com/abarisain/dmix/issues/151,Ongoing notification with controls while playing,"[3, 13, 15]","[5, 15]"
https://github.com/abarisain/dmix/issues/113,Crash browsing in files mode,"[8, 18]",[8]
https://github.com/abarisain/dmix/issues/36,Closing connection,"[8, 10, 2]",[2]
https://github.com/abarisain/dmix/issues/3,Streaming doesn't restart and eats battery,"[2, 10]",[20]
https://github.com/aarddict/android/issues/28,make scrolling and page turns e-ink friendly,[20],[20]
https://github.com/klassm/andFHEM/issues/1214,Dimmer instead of switch for fgs-223,"[11, 2]",[0]
https://github.com/klassm/andFHEM/issues/1183,"High Battery Usage on ""Remote Widget Refresh""","[13, 20, 15]","[15, 13, 20]"
https://github.com/klassm/andFHEM/issues/1152,Improve widget battery usage,"[14, 20, 15]","[14, 20, 15]"
https://github.com/klassm/andFHEM/issues/914,Support for Aeotec MultiSensor,[],[17]
https://github.com/klassm/andFHEM/issues/729,Don't show toggle buttons for CUL_HM powermeter devices without on and off in setList,"[4, 15, 9]",[19]
https://github.com/klassm/andFHEM/issues/444,Fix strong battery usage,"[16, 20, 15]","[15, 14, 18]"
https://github.com/mpietrzak/apv/issues/37,Feature request: full-screen,"[3, 13]","[0, 20]"
https://github.com/telecapoland/jamendo-android/issues/38,"Service seems running in the background, even when I stop the app","[11, 4, 19]","[18, 3]"
https://github.com/mapsme/omim/issues/7563,3D buildings doesn't stay off,[2],[20]
https://github.com/hrydgard/ppsspp/issues/5623,Multithreading seems to be broken on the BCM28155 chipset(1.2 dual core cortex-a9 and videcore IV HW graphics),[9],[20]
